,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset
Los_Angeles2016-02-12,2016-02-12,Los_Angeles,467,0.006548626309754058,0.0
Los_Angeles2016-02-13,2016-02-13,Los_Angeles,432,-0.054219149036510705,0.0
Los_Angeles2016-02-14,2016-02-14,Los_Angeles,916,0.7499781742882887,1.0
Los_Angeles2016-02-15,2016-02-15,Los_Angeles,720,0.5885298967890547,1.0
Los_Angeles2016-02-16,2016-02-16,Los_Angeles,589,0.3683213997654009,1.0
Los_Angeles2016-02-17,2016-02-17,Los_Angeles,302,-0.29573645350895195,0.0
Los_Angeles2016-02-18,2016-02-18,Los_Angeles,469,0.09326470625632655,0.0
Los_Angeles2016-02-19,2016-02-19,Los_Angeles,433,-0.08014244793705394,0.0
Los_Angeles2016-02-20,2016-02-20,Los_Angeles,540,0.1738593581567447,0.0
Los_Angeles2016-02-21,2016-02-21,Los_Angeles,662,0.17633931324862928,0.0
Los_Angeles2016-02-22,2016-02-22,Los_Angeles,547,0.19449762883408983,0.0
Los_Angeles2016-02-23,2016-02-23,Los_Angeles,881,1.0045767248753177,1.0
Los_Angeles2016-02-24,2016-02-24,Los_Angeles,526,0.19004872863887257,0.0
Los_Angeles2016-02-25,2016-02-25,Los_Angeles,541,0.24249771463271608,0.0
Los_Angeles2016-02-26,2016-02-26,Los_Angeles,595,0.268653291931092,0.0
Los_Angeles2016-02-27,2016-02-27,Los_Angeles,626,0.35445714098078285,1.0
Los_Angeles2016-02-28,2016-02-28,Los_Angeles,617,0.06689933044449137,0.0
Los_Angeles2016-02-29,2016-02-29,Los_Angeles,351,-0.24928623794783222,0.0
Los_Angeles2016-03-01,2016-03-01,Los_Angeles,455,0.05144122225422554,0.0
Los_Angeles2016-03-02,2016-03-02,Los_Angeles,342,-0.22681775094871703,0.0
Los_Angeles2016-03-03,2016-03-03,Los_Angeles,101,-0.7413193951615582,0.0
Los_Angeles2016-03-09,2016-03-09,Los_Angeles,361,-0.19293636186894525,0.0
Los_Angeles2016-03-10,2016-03-10,Los_Angeles,527,0.19430913582431453,0.0
Los_Angeles2016-03-11,2016-03-11,Los_Angeles,331,-0.33305936932223634,0.0
Los_Angeles2016-03-12,2016-03-12,Los_Angeles,419,-0.12070055147761538,0.0
Los_Angeles2016-03-13,2016-03-13,Los_Angeles,453,-0.31271904384361493,0.0
Los_Angeles2016-03-14,2016-03-14,Los_Angeles,415,-0.16536366445079742,0.0
Los_Angeles2016-03-15,2016-03-15,Los_Angeles,519,0.13655735724947426,0.0
Los_Angeles2016-03-18,2016-03-18,Los_Angeles,435,-0.14787807260639352,0.0
Los_Angeles2016-03-19,2016-03-19,Los_Angeles,462,-0.06962307472848384,0.0
Los_Angeles2016-03-20,2016-03-20,Los_Angeles,567,-0.10333282281364875,0.0
Los_Angeles2016-03-21,2016-03-21,Los_Angeles,96,-0.8723377305949008,0.0
Los_Angeles2016-04-03,2016-04-03,Los_Angeles,0,-1.3584692185107077,0.0
Los_Angeles2016-04-05,2016-04-05,Los_Angeles,547,0.19958420342110994,0.0
Los_Angeles2016-04-06,2016-04-06,Los_Angeles,340,-0.28549754966965823,0.0
Los_Angeles2016-04-07,2016-04-07,Los_Angeles,227,-0.5150187682989269,0.0
Los_Angeles2016-04-08,2016-04-08,Los_Angeles,212,-0.6401596048749092,0.0
Los_Angeles2016-04-09,2016-04-09,Los_Angeles,398,-0.20944439515339908,0.0
Los_Angeles2016-04-10,2016-04-10,Los_Angeles,598,-0.0324662374650877,0.0
Los_Angeles2016-04-11,2016-04-11,Los_Angeles,560,0.15797068336265574,0.0
Los_Angeles2016-04-12,2016-04-12,Los_Angeles,443,-0.029353914495166777,0.0
Los_Angeles2016-04-13,2016-04-13,Los_Angeles,399,-0.1532758144286257,0.0
Los_Angeles2016-04-14,2016-04-14,Los_Angeles,441,-0.0393496233810231,0.0
Los_Angeles2016-04-15,2016-04-15,Los_Angeles,404,-0.21314589965427977,0.0
Los_Angeles2016-04-16,2016-04-16,Los_Angeles,456,-0.07918929198637059,0.0
Los_Angeles2016-04-17,2016-04-17,Los_Angeles,561,-0.1125794492704213,0.0
Los_Angeles2016-04-18,2016-04-18,Los_Angeles,477,-0.0239636770868068,0.0
Los_Angeles2016-04-19,2016-04-19,Los_Angeles,616,0.35589556071989215,1.0
Los_Angeles2016-04-20,2016-04-20,Los_Angeles,593,0.27857978897573243,0.0
Los_Angeles2016-04-21,2016-04-21,Los_Angeles,485,0.06030690084949519,0.0
Los_Angeles2016-04-22,2016-04-22,Los_Angeles,797,0.6597130515772485,1.0
Los_Angeles2016-04-23,2016-04-23,Los_Angeles,496,0.01176778497239983,0.0
Los_Angeles2016-04-24,2016-04-24,Los_Angeles,463,-0.327237466256012,0.0
Los_Angeles2016-04-25,2016-04-25,Los_Angeles,404,-0.1831594637420818,0.0
Los_Angeles2016-04-26,2016-04-26,Los_Angeles,441,-0.029165625703406528,0.0
Los_Angeles2016-04-27,2016-04-27,Los_Angeles,455,-0.024435937537241825,0.0
Los_Angeles2016-04-28,2016-04-28,Los_Angeles,354,-0.22711904771921176,0.0
Los_Angeles2016-04-29,2016-04-29,Los_Angeles,398,-0.22130850214315756,0.0
Los_Angeles2016-04-30,2016-04-30,Los_Angeles,427,-0.13814030908968522,0.0
Los_Angeles2016-05-01,2016-05-01,Los_Angeles,446,-0.36186935370787776,0.0
Los_Angeles2016-05-02,2016-05-02,Los_Angeles,367,-0.2620043686704209,0.0
Los_Angeles2016-05-03,2016-05-03,Los_Angeles,311,-0.31394507091400525,0.0
Los_Angeles2016-05-04,2016-05-04,Los_Angeles,557,0.20481493054950417,0.0
Los_Angeles2016-05-05,2016-05-05,Los_Angeles,345,-0.24368812540258444,0.0
Los_Angeles2016-05-06,2016-05-06,Los_Angeles,419,-0.17133658014201147,0.0
Los_Angeles2016-05-07,2016-05-07,Los_Angeles,440,-0.10579690288446308,0.0
Los_Angeles2016-05-08,2016-05-08,Los_Angeles,321,-0.6351583582537181,0.0
Los_Angeles2016-05-09,2016-05-09,Los_Angeles,381,-0.2272903096587553,0.0
Los_Angeles2016-05-10,2016-05-10,Los_Angeles,374,-0.17061275305802104,0.0
Los_Angeles2016-05-11,2016-05-11,Los_Angeles,327,-0.30084991433378183,0.0
Los_Angeles2016-05-12,2016-05-12,Los_Angeles,320,-0.29514579725019996,0.0
Los_Angeles2016-05-13,2016-05-13,Los_Angeles,311,-0.40659002897169705,0.0
Los_Angeles2016-05-14,2016-05-14,Los_Angeles,193,-0.6489139918936615,0.0
Los_Angeles2016-05-15,2016-05-15,Los_Angeles,366,-0.5313561208791119,0.0
Los_Angeles2016-05-16,2016-05-16,Los_Angeles,303,-0.39590948484607946,0.0
Los_Angeles2016-05-17,2016-05-17,Los_Angeles,302,-0.32588903468593156,0.0
Los_Angeles2016-05-18,2016-05-18,Los_Angeles,167,-0.6510031995178311,0.0
Los_Angeles2016-05-19,2016-05-19,Los_Angeles,213,-0.5278558971193574,0.0
Los_Angeles2016-05-20,2016-05-20,Los_Angeles,327,-0.3667761206858152,0.0
Los_Angeles2016-05-21,2016-05-21,Los_Angeles,374,-0.2435383055353859,0.0
Los_Angeles2016-05-22,2016-05-22,Los_Angeles,314,-0.642103795017051,0.0
Los_Angeles2016-05-23,2016-05-23,Los_Angeles,354,-0.2784585121109231,0.0
Los_Angeles2016-05-24,2016-05-24,Los_Angeles,425,-0.048899349312122364,0.0
Los_Angeles2016-05-25,2016-05-25,Los_Angeles,345,-0.2521654193704328,0.0
Los_Angeles2016-05-26,2016-05-26,Los_Angeles,323,-0.279634364997008,0.0
Los_Angeles2016-05-27,2016-05-27,Los_Angeles,252,-0.5283711343168741,0.0
Los_Angeles2016-05-28,2016-05-28,Los_Angeles,191,-0.6443791277995641,0.0
Los_Angeles2016-05-29,2016-05-29,Los_Angeles,405,-0.4359519999332395,0.0
Los_Angeles2016-05-30,2016-05-30,Los_Angeles,333,-0.32041836803371326,0.0
Los_Angeles2016-05-31,2016-05-31,Los_Angeles,59,-0.8551427555982419,0.0
San_Francisco2015-11-01,2015-11-01,San_Francisco,62,-0.9479774740737377,0.0
San_Francisco2015-11-02,2015-11-02,San_Francisco,181,0.16246095544446004,0.0
San_Francisco2015-11-03,2015-11-03,San_Francisco,119,-0.14649325566340243,0.0
San_Francisco2015-11-04,2015-11-04,San_Francisco,130,-0.10284219847216247,0.0
San_Francisco2015-11-05,2015-11-05,San_Francisco,290,0.9085564016506582,1.0
San_Francisco2015-11-06,2015-11-06,San_Francisco,114,-0.2685134234640274,0.0
San_Francisco2015-11-07,2015-11-07,San_Francisco,23,-0.8099107139595751,0.0
San_Francisco2015-11-08,2015-11-08,San_Francisco,210,0.08127708738908335,0.0
San_Francisco2015-11-09,2015-11-09,San_Francisco,147,-0.0313555167854257,0.0
San_Francisco2015-11-10,2015-11-10,San_Francisco,110,-0.1861589305626895,0.0
San_Francisco2015-11-11,2015-11-11,San_Francisco,162,0.11051566690150594,0.0
San_Francisco2015-11-12,2015-11-12,San_Francisco,129,-0.07070438782696564,0.0
San_Francisco2015-11-13,2015-11-13,San_Francisco,153,-0.012549958840124553,0.0
San_Francisco2015-11-14,2015-11-14,San_Francisco,159,0.04496133556785775,0.0
San_Francisco2015-11-16,2015-11-16,San_Francisco,128,-0.1347694188929619,0.0
San_Francisco2015-11-17,2015-11-17,San_Francisco,229,0.5625530745075853,1.0
San_Francisco2015-11-18,2015-11-18,San_Francisco,125,-0.1049518999781659,0.0
San_Francisco2015-11-19,2015-11-19,San_Francisco,260,0.751266792935444,1.0
San_Francisco2015-11-20,2015-11-20,San_Francisco,122,-0.19180138155667814,0.0
San_Francisco2015-11-21,2015-11-21,San_Francisco,348,1.2243339407994118,1.0
San_Francisco2015-11-22,2015-11-22,San_Francisco,467,1.6945627745535772,1.0
San_Francisco2015-11-23,2015-11-23,San_Francisco,171,0.1416686347012821,0.0
San_Francisco2015-11-24,2015-11-24,San_Francisco,102,-0.2117282180943405,0.0
San_Francisco2015-11-25,2015-11-25,San_Francisco,124,-0.10134917490316686,0.0
San_Francisco2015-11-26,2015-11-26,San_Francisco,125,-0.07346579978825873,0.0
San_Francisco2015-11-27,2015-11-27,San_Francisco,166,0.08867040804439341,0.0
San_Francisco2015-11-28,2015-11-28,San_Francisco,209,0.3737053042687799,0.0
San_Francisco2015-11-29,2015-11-29,San_Francisco,347,0.9607737954805002,1.0
San_Francisco2015-11-30,2015-11-30,San_Francisco,128,-0.11706407405524322,0.0
San_Francisco2015-12-01,2015-12-01,San_Francisco,142,0.04170035245597059,0.0
San_Francisco2015-12-02,2015-12-02,San_Francisco,436,1.8317846128793227,1.0
San_Francisco2015-12-03,2015-12-03,San_Francisco,113,-0.1425198302687778,0.0
San_Francisco2015-12-04,2015-12-04,San_Francisco,138,-0.079832099516713,0.0
San_Francisco2015-12-05,2015-12-05,San_Francisco,53,-0.58619943550832,0.0
San_Francisco2015-12-06,2015-12-06,San_Francisco,56,-0.8337803370700076,0.0
San_Francisco2015-12-07,2015-12-07,San_Francisco,52,-0.584017399391761,0.0
San_Francisco2015-12-08,2015-12-08,San_Francisco,65,-0.43213390613705566,0.0
San_Francisco2015-12-09,2015-12-09,San_Francisco,71,-0.4218550664773933,0.0
San_Francisco2015-12-10,2015-12-10,San_Francisco,47,-0.5497210600661532,0.0
